"Data Source","World Development Indicators",

"Last Updated Date","2025-06-05",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024",
"Bangladesh","BGD","PPP conversion factor, GDP (LCU per international $)","PA.NUS.PPP","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","13.5555757069278","13.4700478769259","13.5099932527301","13.2177012908733","13.4546602237524","14.1199363693233","14.4532407756958","14.7481729196291","15.2750071831497","15.6313618616401","15.8119501250685","15.9680521193261","16.3358096113245","16.951200305994","17.2603901696296","17.5032087653344","17.9772956309072","18.6357622215063","19.72075153848","20.9256676357966","22.1515314630556","23.4095554351807","23.7354995191658","24.8574730785962","25.6504046099574","27.0466120505002","28.1895707253508","29.3513450622559","29.397891998291","29.595682144165","28.7098007202148","28.296688079834","27.7471652200219","28.6306777887607","",
"Bulgaria","BGR","PPP conversion factor, GDP (LCU per international $)","PA.NUS.PPP","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.000689991051101469","0.00217937950820121","0.00340033568662715","0.00501864483985327","0.00848625068623358","0.019612570825","0.0381995574156","0.398258489787","0.518748003444","0.525167484575","0.535965370821","0.555793345042","0.558289697328","0.559798375026","0.580229538168","0.59649810996","0.61823139561","0.65628201991","0.677679452542","0.693220992752","0.67705261299","0.701075254732","0.6928177846","0.68000565204","0.661230551967","0.678517026112","0.666662624208","0.676277709514","0.680103207","0.6758060408","0.67520433825","0.69262571025","0.72707193788","0.76606472007","",
"Bahrain","BHR","PPP conversion factor, GDP (LCU per international $)","PA.NUS.PPP","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.130577155883077","0.123927998480604","0.116886382084868","0.11072507277403","0.116358059951199","0.115211516016111","0.113362754969556","0.112479326852113","0.103379353362943","0.104644734509253","0.116982616499704","0.11055809706154","0.112583396980585","0.119901246526769","0.129594776915517","0.142913587245963","0.150897207249131","0.159310215856101","0.174062293244599","0.150516385154218","0.166564576201018","0.178678497672081","0.175286383568788","0.180218320384915","0.183168477622234","0.18578421233034","0.188678214863324","0.185696244239807","0.190370857715607","0.181090995669365","0.171287223696709","0.185745358467102","0.186993400229693","0.173018958851266","",
"Bahamas, The","BHS","PPP conversion factor, GDP (LCU per international $)","PA.NUS.PPP","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.981485753013222","0.973650794829268","0.989136386220624","0.958001360778261","0.958453165478023","0.946303104136646","0.938436469957695","0.940311294155705","0.958214225839461","0.991622397056532","0.9786048604471","0.960434796934555","0.983193791462744","0.9752931348475","0.96110296366561","0.979000300688213","0.957578179746912","0.9598036940705","0.955678288175315","0.939976234391196","0.925044271536539","0.89856344461441","0.919978032159248","0.912468042625818","0.918396825378532","0.955871813530898","0.94831266986888","0.929797828197479","0.926608264446259","0.931452453136444","0.962290525436401","0.977568686008453","0.95175889800959","0.976986677146743","",
"Bosnia and Herzegovina","BIH","PPP conversion factor, GDP (LCU per international $)","PA.NUS.PPP","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.000236624010557038","0.000339828990488939","0.00485769779841031","0.362763277827395","0.529637503645802","0.588183581002056","0.587079593346052","0.641472955653675","0.618867732410959","0.661695215274922","0.68516683575","0.704287225746","0.715735715112","0.716713932231","0.714357633878","0.723430273476","0.718467751428","0.73091360532","0.752856193166","0.735220950587","0.73237192821","0.718162037248","0.70594187344","0.68615402962","0.687206542404","0.693905062736","0.675564768998","0.680662058171","0.674439974712","0.6510743712","0.64298452725","0.65968636165","0.67405914881","0.69620010551","",
"Belarus","BLR","PPP conversion factor, GDP (LCU per international $)","PA.NUS.PPP","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8.14013304708237E-09","1.65647549475981E-08","1.83136982597629E-07","2.07290029751037E-06","4.15197988162284E-05","0.000309681896136519","0.000467467219382325","0.000788802996948335","0.00137739182046436","0.00566077318476408","0.0157919445264513","0.0277276591808961","0.0395608682983058","0.0506992845182614","0.0605667173047672","0.0698668876275837","0.075061826719494","0.0824894594797871","0.0980983209106866","0.106523893942118","0.117179961151913","0.196053221821785","0.320005868272162","0.373530841732445","0.447961900499018","0.524063800819057","0.562285911430173","0.607136130332947","0.647122502326965","0.641350507736206","0.641749382019043","0.688632726669312","0.738484639276128","0.76535733770338","",
"Belize","BLZ","PPP conversion factor, GDP (LCU per international $)","PA.NUS.PPP","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.33603682664679","1.26167711319674","1.2759597754075","1.26979978530059","1.27562614730928","1.31542073089502","1.3272438888825","1.28490612871339","1.30160208103467","1.26217325620367","1.25204148465633","1.20094257307557","1.19074771268101","1.11973069897718","1.1137624685473","1.11233688440813","1.11382183290705","1.12571859854021","1.14426064254094","1.10860058059705","1.11991766304351","1.15122830867767","1.23238351604957","1.25077793313604","1.29150204825605","1.29049548931782","1.30670152863667","1.3314516544342","1.26605069637299","1.17554986476898","1.08695876598358","1.04862034320831","1.04982398779617","1.07932602259569","",
"Bermuda","BMU","PPP conversion factor, GDP (LCU per international $)","PA.NUS.PPP","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.873403381215623","0.899160471115186","0.903864032884812","0.928815613923478","0.927218433841011","0.946124631585735","1.20194645882924","1.22911615134699","1.24877840753966","1.26474971671407","1.18434273972565","1.14240338749517","1.22144545376849","1.23163181813053","1.25565604819029","1.29981316448975","1.32873082858895","1.37873985659276","1.42178482543072","1.42781583983434","1.44221788986168","1.39679682254791","1.44923890256807","1.42204865225408","1.40246737743196","1.38070297151496","1.35237412323767","1.31113624572754","1.3166686296463","1.2727233171463","1.25638365745544","1.22146320343018","1.15087209332994","1.15651546560852","",
"Bolivia","BOL","PPP conversion factor, GDP (LCU per international $)","PA.NUS.PPP","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.948284831398099","1.07952365637918","1.19478478542663","1.24365016511297","1.3144810314267","1.43461115500413","1.57196315028381","1.63347588805924","1.72922023184205","1.74621091926099","1.7962451928335","1.78954172959519","1.81186408912686","1.88925510497173","1.9863702280674","2.04040062900577","2.24981384645936","2.35197938157709","2.54706802943609","2.47019598221038","2.65475475405642","2.98091197013855","3.03348120528034","3.00953763550479","2.98222152129765","2.89461967008556","2.77929957475478","2.68458724021912","2.70201420783997","2.63906097412109","2.58266496658325","2.473956823349","2.42765468565213","2.33149271757576","",
"Brazil","BRA","PPP conversion factor, GDP (LCU per international $)","PA.NUS.PPP","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.15782219431751E-05","5.78652430965086E-05","0.000604804339700938","0.0123840650909725","0.283749422453184","0.539108158172348","0.627126072150667","0.664143975888066","0.689104221242386","0.733919243573724","0.757895423863969","0.802170641881124","0.86729057252896","0.970343048282448","1.0181847510778","1.0605939083","1.09856354092293","1.13845673015531","1.21498747296503","1.29585280198645","1.38813702347076","1.4732164144516","1.60913586532018","1.70855542893458","1.82485052496386","2.00586931129873","2.15597159643949","2.2096791267395","2.19759154319763","2.21644520759583","2.26491117477417","2.37927412986755","2.41127335878037","2.43595911597318","",
