"Data Source","World Development Indicators",

"Last Updated Date","2026-04-08",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025",
"Aruba","ABW","PPP conversion factor, GDP (LCU per international $)","PA.NUS.PPP","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.923371170629871","0.943316000192529","0.957551495004553","0.984958026809376","1.02500603223764","1.03784812793658","1.05240950655034","1.07289179614285","1.13091703346446","1.13955892558185","1.12586291239167","1.16305010241529","1.19604132896429","1.20864669228633","1.21006876394409","1.23273705484475","1.23752658217184","1.26713820674172","1.29617578207541","1.31017240007378","1.27860494942333","1.30294060707092","1.31876661849032","1.28702435899103","1.3117209860102","1.36631378592424","1.36001458924542","1.35663664340973","1.37060558795929","1.42321181297302","1.4119086265564","1.36395359039307","1.32778985287136","1.37278476022879","1.39592218185229","",
"Africa Eastern and Southern","AFE","PPP conversion factor, GDP (LCU per international $)","PA.NUS.PPP","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Afghanistan","AFG","PPP conversion factor, GDP (LCU per international $)","PA.NUS.PPP","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10.1998697275086","8.80071752185604","9.196888260347","10.0699941212549","10.9116040745526","11.7344348455491","12.2029654391202","14.5576162878987","14.5818363060565","14.1789193737911","14.5430529448396","16.6134779097919","16.9302950898685","16.8815458389923","16.1278038080551","15.8235824504332","15.9236559656703","15.4202070236206","14.8562349775318","15.026434394062","15.3352430921872","14.5879421234131","14.8979708918235","14.8009414284672","","",
"Africa Western and Central","AFW","PPP conversion factor, GDP (LCU per international $)","PA.NUS.PPP","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Angola","AGO","PPP conversion factor, GDP (LCU per international $)","PA.NUS.PPP","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.08190935683737E-08","2.15907128494086E-08","1.21700483533935E-07","1.20996724824153E-06","2.69628887583821E-05","0.000508507301031656","0.0244715448313371","0.0470195463403789","0.0647978921329068","0.420102006435402","2.12800471698451","4.29448448986958","10.2538444948909","19.5683844415809","25.4172731426443","34.5360038397542","39.1361372202541","40.0754934609502","46.9563993649614","40.0083569691288","50.8609663921628","64.6057510375977","66.0171856203882","66.6955727425879","66.0018757612622","69.5859035283092","82.8633266447229","95.8372421264648","111.44181060791","124.439605712891","146.909133911133","174.090515136719","191.953511830036","218.506583100621","265.840925124981","",
"Albania","ALB","PPP conversion factor, GDP (LCU per international $)","PA.NUS.PPP","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.26018168338096","2.9626760729465","9.645451033526","21.2610820868163","28.27779316953","30.4221594088033","34.9344057751288","38.7228613260824","40.7158725008112","41.1017232445804","42.0109138025549","42.8159511234002","42.9263853475769","44.5962370757266","44.9034894173409","45.5274323815141","44.4220629985129","44.6262988346019","44.5612646380928","44.3164506314971","44.2086336381806","43.8579796113032","43.6550063876766","44.1138002468583","42.8940351782566","42.7059305703356","42.3857652926548","42.2556427128982","42.3029505706516","40.5502874684565","40.2104920211067","41.1653377559482","39.6080646455667","39.4548929711362","39.6673837913105","",
"Andorra","AND","PPP conversion factor, GDP (LCU per international $)","PA.NUS.PPP","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.481169191592838","0.497707461545898","0.519273962100451","0.53026560981369","0.539323536565284","0.554306929882707","0.548680689698579","0.551397610211019","0.553446123555788","0.560632656153897","0.705779895447846","0.711500899378481","0.723309998340593","0.731844152641078","0.734362308971804","0.736218215388041","0.738884638465542","0.742495774227149","0.745028111262927","0.741439506718189","0.735279068198795","0.721833616098991","0.709874590850017","0.701125997359204","0.688545090487146","0.686720483377215","0.682621757503082","0.678233981132507","0.656328009600346","0.64122788740431","0.627878780205223","0.604573547840118","0.588248185019342","0.603563370465281","0.607839175148891","",
"Arab World","ARB","PPP conversion factor, GDP (LCU per international $)","PA.NUS.PPP","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"United Arab Emirates","ARE","PPP conversion factor, GDP (LCU per international $)","PA.NUS.PPP","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.10849922536127","1.08093238337433","1.07594376082295","1.06446347079809","1.03947467426876","1.05791084191545","1.09886683472302","1.06995156019205","1.01304578289669","1.0832519837271","1.18064374734604","1.12751857111885","1.1521314265212","1.17583619807864","1.24239003948943","1.40369888987719","1.52459541320979","1.67043130093183","1.94259015896813","1.63754701171897","1.93268725312351","2.12660837173462","2.1879699726825","2.2341905856946","2.21351673547793","2.22924693053669","2.24174884422555","2.28525042533875","2.23515868186951","2.1137228012085","2.08898448944092","2.36256718635559","2.48316366052119","2.34848252954196","2.33033434270159","",
"Argentina","ARG","PPP conversion factor, GDP (LCU per international $)","PA.NUS.PPP","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.293939470110215","0.683806375949621","0.776023252812357","0.731059830393017","0.736171486524754","0.743875471066843","0.730119100894244","0.714412313957507","0.694425180472247","0.672159933949251","0.664089244713395","0.642348668915945","0.825786930673051","0.894793043859227","1.03137254896541","1.10319436905862","1.21724697690634","1.36219731623736","1.64611838124372","1.88761027800908","2.25500157952188","2.73312783241272","3.22003163590423","3.94556760852856","5.46151378584004","6.88258971224653","9.32211732577767","10.2927856445313","13.5268135070801","20.3836688995361","26.8871841430664","38.783332824707","61.179647064951","139.807324662747","419.901039679183","",
"Armenia","ARM","PPP conversion factor, GDP (LCU per international $)","PA.NUS.PPP","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.00513118142378908","0.00890352600925814","0.058220667290399","0.848065211533612","34.9346951917568","89.3631516437746","104.949595065377","121.468783512258","132.969717648484","131.184866206646","126.516955221327","128.714762239282","129.733038300282","133.071580685215","137.723110033406","137.820994841374","139.872156672913","142.008340435082","147.668868137863","150.428718173469","160.168589747522","163.650009155273","157.763327428082","159.440560466033","164.557666539169","172.04720077425","160.208207872256","154.786590576172","157.376907348633","147.486145019531","141.940551757813","148.241226196289","149.426272929493","148.707811233216","147.231105454721","",
"American Samoa","ASM","PPP conversion factor, GDP (LCU per international $)","PA.NUS.PPP","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Antigua and Barbuda","ATG","PPP conversion factor, GDP (LCU per international $)","PA.NUS.PPP","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.57702103901031","1.57282884755547","1.58285720031902","1.58201429329521","1.60452126383669","1.61947374032206","1.64459919170919","1.65762633971239","1.68314595846501","1.69303721545324","1.6809571036499","1.6778679427023","1.6732493459538","1.63298862457701","1.62757486407299","1.65192555189757","1.62041763091012","1.64660800404088","1.69202968918804","1.70031782841917","1.70690523265345","1.69137668609619","1.83504087686813","1.86755989889067","1.93511005167144","2.06855869734309","2.09674444871081","2.13833737373352","2.01181793212891","1.92162227630615","1.85506355762482","1.81939482688904","1.81346421048771","1.83645756943168","1.90391952523762","",
"Australia","AUS","PPP conversion factor, GDP (LCU per international $)","PA.NUS.PPP","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.365893","1.348856","1.328189","1.312441","1.300904","1.310302","1.313356","1.307709","1.300774","1.29695","1.312261","1.328086","1.33649","1.352188","1.364774","1.388356","1.4033","1.427068","1.479073","1.442855","1.503481","1.511052","1.540115","1.447123","1.452489","1.473691","1.450156","1.477553","1.470403","1.459253","1.431163","1.395724","1.358727","1.337468","1.366527","1.364388",
"Austria","AUT","PPP conversion factor, GDP (LCU per international $)","PA.NUS.PPP","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.920033","0.922348","0.933171","0.936697","0.940271","0.937667","0.933795","0.931458","0.922709","0.923906","0.907311","0.922994","0.899797","0.888232","0.878171","0.881939","0.860213","0.868013","0.854424","0.843317","0.84243","0.831374","0.813648","0.797081","0.798797","0.798813","0.776931","0.775009","0.765403","0.738332","0.728799","0.72035","0.687544","0.704634","0.710451","0.719724",
"Azerbaijan","AZE","PPP conversion factor, GDP (LCU per international $)","PA.NUS.PPP","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7.6485598169668E-06","1.35796559276146E-05","0.000154721815065515","0.00128033825774836","0.018628924917713","0.117808754496305","0.146255251990488","0.157064406206468","0.153819797393634","0.154952864267705","0.170449755480745","0.170888700613844","0.175365440908154","0.183941854851719","0.195697610890413","0.217685705440139","0.235097699745477","0.276008850590382","0.346534668793055","0.279319501983064","0.314125345836633","0.383509784936905","0.368202768426652","0.357812484388613","0.352385193609108","0.373831913649521","0.426016726419135","0.498603373765945","0.52723491191864","0.48993256688118","0.474218666553497","0.457138150930405","0.58575550944154","0.512698866491917","0.49354478660225","",
"Burundi","BDI","PPP conversion factor, GDP (LCU per international $)","PA.NUS.PPP","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","71.203365103694","71.6932873722143","73.8823168012208","77.7596075218602","81.1881094238458","92.3258119819352","103.769980424988","135.060118513102","148.852352607221","168.724327411365","186.730420916271","207.667105764729","206.591213499844","226.792483239502","249.887296140753","287.941751848307","287.276475849029","302.861064647322","368.924537613226","403.75638409843","434.64078982189","461.509124755859","523.127232295531","531.306915880677","534.965252683798","553.845954285664","564.395746237552","626.167602539063","605.947692871094","582.1962890625","595.613830566406","609.599182128906","654.665841080933","751.938170324918","875.87514263987","",
"Belgium","BEL","PPP conversion factor, GDP (LCU per international $)","PA.NUS.PPP","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.913185","0.908722","0.918901","0.933469","0.933095","0.92509","0.92759","0.927434","0.935543","0.931348","0.899807","0.892461","0.8733","0.876176","0.88842","0.891788","0.874461","0.878806","0.86694","0.849692","0.83681","0.831911","0.822137","0.806166","0.800214","0.799998","0.781011","0.775634","0.766407","0.735832","0.716165","0.719916","0.698153","0.703466","0.704288","0.713498",
