Grade,Distributed income,Distributed wealth,Female labour income share
0,No data is available (imputed regional average). This is the lowest-quality category and is used only as a last resort to ensure coverage. ,"Estimates are based on the observed correlation between income inequality and wealth inequality. Wealth distribution is predicted using an income inequality weighted average of other countries’ wealth distributions, with adjustments for rich-list and national accounts.",No income and employment data is available (imputed regional average). This is the lowest-quality category and is used only as a last resort to ensure coverage.
1,"The value is imputed by carrying the nearest available observation forward or backward, filling short gaps in an otherwise continuous series","Estimates based solely on survey data, statistically adjusted to approximate missing top-end values. They include rich list and national accounts corrections when available (typically from the 1990s-onwards).","Values are estimated using an OLS regression model with female shares of wage and self-employment as the main predictors, employment data are drawn from ILO modelled estimates. Unlike grade 2, no observed income data are available for the country, so the full series is model-generated."
2,"Values are estimated by linear interpolation between two known data points, typically for short, internal gaps.",Wealth distribution estimates are imputed either via a simplified mortality-based multiplier method or from micro inheritance/probate data or from wealth tax tabulations. These are supplemented by rich list and / or national accounts adjustments when available (typically from the 1990s-onwards).,"Values are estimated using an OLS regression model with female shares of wage and self-employment as the main predictors, employment data are drawn from ILO modelled estimates. Where observed income data exist for the country, the predicted trend is level-adjusted to match those observations, anchoring the series to real data points."
3,"Only one type of source is used: either income/consumption surveys, or tax tabulations; the two sources are not jointly available. Tax tabulations are typically the sole source for the historical series (pre 1980) or fiscal income series.","Aggregate wealth figures are derived from national-accounts balancing items, then distributed according to survey shares.","Values are estimated by linear interpolation between two known data points, typically for short, internal gaps."
4,"Tax and survey data are both available, but at least one source is in tabulated (not micro) form.","Wealth distribution is modeled using a hybrid of either income-capitalization techniques or wealth/estate tax tabulations and survey information, with rich list/national accounts adjustments.","Female and male wage and self-employment incomes are derived from a supplementary survey source. These observations are used to extend the time series beyond the years covered by the benchmark source, and are therefore of slightly lower priority but remain grounded in observed microdata."
5,Fully integrated micro-level data from tax records and household surveys are available.,"High-quality wealth microdata from administrative registers or tax declarations, requiring only minor imputations for unobserved assets.","Female and male wage and self-employment incomes are directly observed from the benchmark survey source for each country. The benchmark source is selected based on breadth of coverage, methodological consistency, and systematic data collection procedures. These observations represent the highest data quality in the series."
