"Data Source","World Development Indicators",

"Last Updated Date","2026-04-08",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025",
"Armenia","ARM","Net primary income (Net income from abroad) (current US$)","NY.GSR.NFCY.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-82989413.2424188","-2337662.33766234","-209314731.226918","-1300014.23892923","-4020000.33746351","39521299.9879387","44730000","97204737.8719935","58815383.5480674","54956292.9391096","58972266.9528438","63602627.4636976","82371299.5552455","92875458.8178378","148352246.883494","206006379.369255","302026902.100871","497420803.086968","691280287.832705","358781515.205739","458281240.386075","360073591.986824","423036162.157057","682546975.092623","522216023.003416","428407517.563457","245059601.272041","405555183.60953","200340489.035019","187857847.34223","-202689911.186251","-398972932.489033","-488642565.88932","-626220412.707093","-911703515.451488","",
"American Samoa","ASM","Net primary income (Net income from abroad) (current US$)","NY.GSR.NFCY.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Antigua and Barbuda","ATG","Net primary income (Net income from abroad) (current US$)","NY.GSR.NFCY.CD","","","","","","","","","","","","","","","","","","-200000","-400000","-1800000","-1200000","-2000000","-3700000","-1000000","-400000","-2700000","-36033333.3333333","-39959259.2592593","-31625925.9259259","-45481481.4814815","-45325925.9259259","-32200000","-29666666.6666667","-22937037.037037","-26559259.2592593","-26859259.2592593","-26218518.5185185","-22155555.5555556","-21037037.037037","-23445185.1851852","-44518888.8888889","-51840740.7407407","-50233333.3333333","-53659259.2592593","-58270370.3703704","-54970370.3703704","-63251851.8518519","-73222222.2222222","-72577777.7777778","-68029629.6296296","-67585185.1851852","-70281481.4814815","-86762962.962963","-70314814.8148148","-60733333.3333333","-84537037.037037","-97403703.7037037","-76151851.8518519","-77055555.5555556","-71696296.2962963","814814.814814815","-57288888.8888889","-92692592.5925926","-84425925.9259259","-109592592.592593","",
"Australia","AUS","Net primary income (Net income from abroad) (current US$)","NY.GSR.NFCY.CD","31360005.0176008","-22400003.5840006","57120009.1392015","-62720010.0352016","-3360000.53760009","75040012.0064019","-59360009.4976015","-213920034.227206","-303520048.563208","-535360085.657614","-467040074.726412","-498400079.744013","-223130841.121495","37155669.442665","-308032424.465733","207565205.516865","-2520980.86323427","-777701307.639367","-1429009686.13669","-1643757809.83756","-1568802228.41226","-590967142.691281","-3698554562.5069","-1359822259.15798","-2328357235.74821","-2502126654.24552","-3256855064.35367","-3444944415.03441","-4383705566.32383","-8171105472.80858","-10842523314.5032","-13087454017.3186","-12548661922.1132","-8305227655.98651","-7092355586.30232","-12678942678.9427","-14183600771.1679","-14623548875.3344","-12591738452.1468","-12151272089.2342","-11990022131.1743","-10620896618.121","-10727607303.5422","-13150262085.032","-17482572200.8821","-25760668147.5969","-29059642197.7272","-38068618984.0622","-43163818742.7593","-32639619024.0584","-44635087286.6278","-56187596313.7766","-47128058224.5953","-39321617964.3409","-38431348787.7628","-27598922067.9057","-28641662929.9853","-36347551828.9165","-45401978110.5634","-47635939977.4998","-31745244347.0794","-20617687251.5149","-66415951902.2372","-76505943006.367","-61289353985.5847","",
"Austria","AUT","Net primary income (Net income from abroad) (current US$)","NY.GSR.NFCY.CD","","","","","","","","","","","-50085736.9674517","-42571318.4271396","-84590749.449372","-124336214.772647","-43505594.8174323","-80253614.6006163","-153753164.071489","-218088418.949297","-257274708.613664","-213224909.933093","-118560944.479898","-37484879.9032314","48135032.6691942","58890761.4524284","87248469.8438897","145470869.912211","-188814781.433078","-285511536.787114","365027304.134626","803360374.414977","1262064625.4387","493180907.483795","174132231.404959","303236720.690879","-77103963.3779063","-919339429.507302","-136469976.605147","-985003946.329913","-1326700755.89151","-3442351348.99615","-1718288786.19608","-2701308218.07087","-1243996793.2549","-659014044.470587","-415338983.513515","-669196157.509727","785377064.117646","-392230814.823531","3603350898.4375","-174068846.25","3281413893.33334","1456263585.60312","414601304.414063","1134212805.4902","475470430.705881","-3871645231.83594","-168692034.396888","-3932307207.17648","-4680240817.80392","-1005959794.5098","4780547594.3969","7924833173.64328","1198895874.51362","3523313822.54908","-1032158015","",
"Azerbaijan","AZE","Net primary income (Net income from abroad) (current US$)","NY.GSR.NFCY.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5001250.31257814","955277.109968317","-3851779.01210931","-9183344.89969811","-9158485.71338958","15120186.0945981","186764365.019362","-94542991.9169094","-144741264.252666","-194000189.268477","-251795557.890578","-513587111.375237","-1510755525.8451","-2511850197.82975","-4830071178.52432","-5020203987.24471","-3269539166.66563","-3168203339.14777","-4511793295.05652","-3944529653.97858","-3688271231.20398","-2156825996.65709","-1697112137.45554","-2275584343.6388","-1545009020.10568","-2259389170.81417","-1855705882.35294","-270117647.058824","-1138058823.52941","-5284823529.41177","-3042588235.29412","-2568529411.76471","",
"Burundi","BDI","Net primary income (Net income from abroad) (current US$)","NY.GSR.NFCY.CD","-2107986","-2179994","-2288006","-2471998","-2764002","-1515851.85185185","-9396571.42857143","-11325714.2857143","-13520000","-12034285.7142857","-7449142.85714286","-9075428.57142857","-11397714.2857143","-8357275.21488213","-8990476.19047619","-8645079.36507937","-11262608.6956522","-10348888.8888889","-14460000","-10160000","2086666.66666667","-2900000","-7666666.66666667","-9330823.02313071","-13025645.309498","-18375176.0709255","-20644652.7108698","-28415344.7717708","-22935289.7182948","-17623702.4712133","-14889492.2775977","-11244924.6059511","-13657987.6430008","-9814032.94892916","-11375600.3055453","-12410125.001001","-13908363.9966969","-12500000","-8299999.29896393","-11304510.0787849","14300000","-12317565.1231408","-13685412.5167323","-17896392.8248139","-27301126.3409361","-17786710.5436038","-8824968.54695994","-5886938.23846336","-4304326.10083273","-16979396.6280035","-10867940.7815213","-17489228.7568498","-6505624.54479164","1784525.98466317","-7461103.94963403","356346.201430827","-1271055.98778062","1474125.03031902","5655328.60997874","7415138.15020817","14544800.9704819","8116571.4845269","13986562.8672032","5802914.84334208","10218572.9470174","",
"Belgium","BEL","Net primary income (Net income from abroad) (current US$)","NY.GSR.NFCY.CD","","","","","","","","","","","314951996.772892","316223994.737275","403236183.667858","450348789.070586","528123446.561723","610705275.858287","676506792.058516","595778277.996624","631215575.765339","273408090.258668","60198648.0893916","229518687.527162","-186955677.202896","-238743984.220907","-42368053.6163083","227955024.118486","372747877.912227","876034575.904916","915296763.576522","525063472.563473","947346692.419121","1714611931.48258","1852431618.56964","3855944496.26866","5947083433.80757","6324849480.02189","6493680781.75896","6149300857.01398","6278728606.35697","6015775160.03862","6102585195.13727","4428529761.96851","4465282803.88236","6073539493.60783","5126743397.87646","4818734851.98443","5871305658.70587","6550610931.84316","12582754261.7969","9501397336.05468","7337178891.66668","833085218.871597","11252436146.0156","12039921272.7059","10915095294","6489097092.10937","4252168307.97666","4466985308.00001","5481282261.80392","4525139863.5294","4741370267.85994","7716552605.03864","7980739713.81326","11634558558.2355","10964081196.25","",
"Benin","BEN","Net primary income (Net income from abroad) (current US$)","NY.GSR.NFCY.CD","-713322.979483183","-726043.488312665","-727508.666438617","-751189.866508134","-772704.060460492","-800008.784753918","-99999.8221252116","-400007.82436041","-1399985.9769988","-2500010.25155453","-2499983.92746172","-3102652.86424716","-2100009.85328485","","2299977.83009343","-1299938.08118877","","-199998.626667088","300008.606025122","1199984.61463564","-2899930.85227768","-3199966.69653108","-6000039.81056319","-13299954.6566779","-29600012.5559362","-21299999.9735122","-25999999.9884495","-28600000.0891738","-24799999.8952487","-38156444.0115083","-38932655.8820379","-30839581.8125816","-60448076.266553","-39832604.0814878","-35133286.0484307","-44255659.9387133","-46021228.5571588","-29820058.9836672","-13389830.0416165","-12343345.1868279","-12297806.1115188","-14589068.3465056","-28272489.606141","-38179165.8444092","-37067305.6253223","-17765483.9777288","-30239711.1550568","-48523535.0677906","-11354259.0459089","-33128254.0602317","-53535382.3484719","-15499999.9936339","-66734652.895446","-69016634.845626","-60942285.1504807","-65661251.5133285","-37796469.4107733","-31784802.2949875","-55077711.9187247","-70798635.0821503","-121363105.396003","-189305379.746382","-125378795.66966","-189278920.32048","-226108787.273881","",
"Burkina Faso","BFA","Net primary income (Net income from abroad) (current US$)","NY.GSR.NFCY.CD","4451866.27117807","3190155.64953161","8493787.96956259","3424696.3379191","3436547.26897567","-3627781.81527701","-1704099.4932738","-1719526.77676375","-1595400.35220046","-1598457.77229281","0","-504727.94977893","-1303797.93640639","-238219.725539575","-2253972.90591805","-12071599.9830155","-9522024.2566228","-20188163.9486133","-11100239.0985991","-9209174.78430169","-4080302.04342299","-9807491.07465303","-10261939.5377117","-10085025.0007587","-4950147.84829945","-5699962.62968154","-5399907.93804081","-8800100.33521312","-13100078.332179","-11900063.1391097","-7345790.15777832","-9216364.14087257","-11976192.2659629","-18676485.4970473","-14263805.5064289","-10038100.5709111","6899887.66156384","-2192909.65296702","-2796601.80698668","3915764.84004671","-3750587.27339527","-12079155.333986","-34289884.0243679","-54644354.2930987","-45408601.4035111","-64044632.1379638","-18588212.8197674","-22466336.9829703","-36737971.5106349","-117493023.286443","-302076958.604665","-487651202.61592","-317520069.254336","-363592869.42887","-605515183.946738","-539033650.853099","-571634813.146345","-529620985.203393","-502129405.963374","-669646057.668488","-775526152.690248","-1153377132.834","-1207181225.06603","","","",
"Bangladesh","BGD","Net primary income (Net income from abroad) (current US$)","NY.GSR.NFCY.CD","","","","","","","","","","","","","","21327785.6316669","10399158.9254331","-8428819.28796755","-11816383.8383838","-42293736.2637363","-43542652.1164021","-29761228.6465177","18892474.1602067","341064871.481028","321756487.025948","513930976.430976","532080000","376923076.923077","428133333.333333","568903225.806452","605288442.138191","636853622.233871","635714247.069043","661064425.770308","769761273.209549","902698412.698413","1055810473.81546","1157014925.37313","1211149144.25428","1369039812.64637","1431101321.5859","1570840266.22296","1731961836.613","1638491475.16679","2183963085.49539","2425181347.15026","2816901647.69832","3079188720.31744","4049829537.26781","5107934002.69223","7053275063.74906","8124682214.01936","9337732892.08624","10182884255.7824","11282098953.0106","12064379774.556","11522056490.4932","12668430527.7324","12425970620.7614","10141503711.3573","12851268279.7","14386947037.2794","15479725300.0413","21910519864.9407","18228864666.7891","17458123310.6477","19383315284.871","",
"Bulgaria","BGR","Net primary income (Net income from abroad) (current US$)","NY.GSR.NFCY.CD","","","","","","","","","","","","","","","","","","","","","-313923076.923077","-197714285.714286","-154466666.666667","-79166666.6666667","-38611111.1111111","-62842105.2631579","-131470588.235294","-314153846.153846","-421000000","-636777777.777778","-1636181818.18182","-774454688.554081","-141082215.843366","-192723055.736754","-192686666.420364","-431984040.731863","-396074518.379439","-356898147.845356","-283501480.948762","-184831976.77173","-323410862.935795","24900078.1797842","343504134.618857","343800780.515057","305506222.109073","83502347.0062568","-851085157.320715","-3273698191.10598","-2634542676.51971","-1666265252.09499","-1061048117.22278","-1805777349.9102","-720106435.399626","-1235494551.65595","-627898300.278866","-1650109952.39175","-1798134320.33854","-1450461492.0096","-2394971280.1486","-2129371818.19327","-2548918537.37008","-3369289050.808","-4900324813.91206","-5010319148.99498","-5730311055.94405","",
"Bahrain","BHR","Net primary income (Net income from abroad) (current US$)","NY.GSR.NFCY.CD","","","","","","","","","","","","","","","","","","","","","-208278057.840276","-26861702.1276596","-11436170.212766","11170212.7659574","-111702127.659574","-370212765.957447","-397074468.085106","-396276595.744681","-431117021.276596","-360372340.425532","221542553.191489","191223404.255319","32180851.0638298","-193882978.723404","-242553191.489362","-58894414.893617","-25213829.787234","-236117021.276596","-161987500","-270387500","-223623670.212766","-321571010.638298","-524944414.893617","-492977393.617021","-574772340.425532","-412351329.787234","-384927393.617021","-298686170.212766","-923677393.617021","-2399864893.61702","-2373013297.87234","-3764361702.12766","-1007446808.51064","-1195744680.85106","-1632712765.95745","-1735904255.31915","-1795478723.40426","-1989627659.57447","-2076063829.78723","-2260638297.87234","-2459042553.19149","-2527925531.91489","-1962765957.44681","-2607446808.51064","-3317553191.48936","",
"Bahamas, The","BHS","Net primary income (Net income from abroad) (current US$)","NY.GSR.NFCY.CD","-20188199.2301119","-22638199.6221119","-25186298.0298077","-28224298.5158878","-31654299.0646879","-35672005.7075209","-41300000","-47300000","-54000000","-64000000","","","","","","","-75600000","-83600000","-127800000","-133600000","-134500000","-151900000","-131600000","-138500000","-165100000","-180600000","-183600000","-183300000","-166900000","-131600000","-172800000","-179000000","-82600000","-128400000","-137600000","453158500","812275600","-152600000","-197500000","-126800000","-140200000","-198900000","-184345100","-152420000","-141320000","-182064700","-218000000","-231600000","-77800000","-152200000","-234900000","-236000000","-279299999.999999","-297599999.999999","-436200000.000001","-494800000.000001","-556000000","-545500000","-835100000","-622200000.000001","-532600000","-711600000","-752199999.999999","-747199999.999999","-631699999.999999","",
"Bosnia and Herzegovina","BIH","Net primary income (Net income from abroad) (current US$)","NY.GSR.NFCY.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-165000000","-242000000","-222000000","-228005785.280291","809078303.407234","728054820.935889","590357724.955956","532396484.357128","508041738.645058","533295247.591942","504484124.439659","467978447.557801","391899796.8022","468858357.890081","706263350.09991","678319557.408919","279670084.104175","149971178.524696","134678395.227991","242100782.661293","151801523.434559","110534212.800512","22949553.1742697","-151745725.50945","-117575475.939734","-34511752.7128029","-112040571.471837","-301855097.284359","-321983073.436288","-133687375.048571","-59119400.4748933","",
"Belarus","BLR","Net primary income (Net income from abroad) (current US$)","NY.GSR.NFCY.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","-88113342.2901245","-67674915.486921","-30763703.2645557","-84771221.6915729","-92893687.1314603","11416193.6661385","-52644224.6348811","-43260431.6546763","-30145400.1295424","25144910.2263476","-18614888.9485525","55472602.167312","-114770395.792144","-410971631.998807","-787872121.325594","-1113688261.93588","-1162638701.90129","-682511061.124144","-1470373999.92803","-2652219525.79096","-2364022261.12812","-2392943860.94679","-2250242892.53469","-2055536752.81084","-2169986081.71935","-1910291841.9358","-2496637324.12408","-2557808699.41997","-3096911770.30578","-2348712321.47904","-1641085000.51753","",
"Belize","BLZ","Net primary income (Net income from abroad) (current US$)","NY.GSR.NFCY.CD","-141260.141260141","-208950.208950209","-155470.155470155","-161630.161630162","-169890.16989017","-210000.21000021","-210000.21000021","-207123.387544428","-1559996.88000624","-1679996.64000672","-1739996.52000696","-2251043.69336648","-2934635.06252021","-4103672.23541114","-10812851.7464509","-12278462.2498125","-8401953.02724165","-5600000","-6800000","-5300000","-1950000","-1900000","-4900000","-5500000","-7700000","-9900000","-6200000","-6100000","-6200000","-9700000","-8100000","-9400000","-14950000","-18550000","-25616600","-22571300","-26403750","-23341450","-32152050","-40140750","-52899100","-67049500","-67481150","-89477850","-116744150","-114426250","-125282550","-158952800","-165177250","-90644800","-138499250","-97185300","-120163050","-119235550","-137799300","-95465900","-110807850","-125249150","-156243550","-163503850","-58636100","-77930000","-133932400","-111183150","-129932850","",
"Bermuda","BMU","Net primary income (Net income from abroad) (current US$)","NY.GSR.NFCY.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","146174000","161578000","283429000","298596000","243841000","239188000","195872000","292963000","234433000","101075000","203082000","311319000","423558000","179076000","361240793.040166","",
"Bolivia","BOL","Net primary income (Net income from abroad) (current US$)","NY.GSR.NFCY.CD","","","","","","","","","","","","","","","","","-31484257.8710645","-67116441.7791104","-113893053.473263","-182323149.812122","-263091353.996737","-362194127.243067","-410696355.64342","-361801148.383197","-414900091.440786","-372899999.52844","-308500000.086718","-277700000","-264799999.85817","-259100032.210331","-248600000","-247000034.63099","-197699971.567872","-205900025.861161","-182499988.637635","-206599988.084182","-208200016.080047","-196500019.603149","-162200004.972657","-196200008.671105","-225529995.591523","-211159985.814866","-204700000","-301847407.165818","-384719934.475806","-376353330.782729","-397243690.006649","-489437624.223929","-536375783.831637","-673808091.168091","-888938266.558752","-985761303.002669","-1629277945.00724","-1907771099.85528","-1697959696.09262","-1127097742.40232","-620895947.901592","-1109646382.05499","-975655079.59479","-835894211.287988","-416900000","-1029100000","-1263700000","-1253001447.178","-1114002894.35601","",
"Brazil","BRA","Net primary income (Net income from abroad) (current US$)","NY.GSR.NFCY.CD","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-15326680532.2037","-9536024717.37607","-11910451272.1106","-11973392649.5065","-11880789234.64","-11146162053.5542","-13205886287.0741","22235375778.2653","-10386605001.1334","-7677820249.21375","-6190913729.40469","-8966049812.94203","-20190566962.0398","-10747133635.643","-11374332106.2581","-14575678723.1016","-17840127931.0123","-18481104227.6652","-18875699497.6326","-18181678489.9165","-17102661235.419","-17715211174.6138","-19773282843.4296","-25774173651.442","-27717024467.882","-29675878088.7689","-41583015500.2368","-36886423680.2623","-68231495754.3244","-67227290207.4975","-61508406060.064","-34360249589.1448","-45766763261.9486","-33912090739.4874","-38096359801.5494","-38577531002.2902","-53302904764.8346","-50293807912.3341","-30796091968.0063","-52122275391.0597","-56578049581.927","-69525798861.2973","-72985408536.6957","",
"Barbados","BRB","Net primary income (Net income from abroad) (current US$)","NY.GSR.NFCY.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","-27444936.110973","-33411226.5698802","-35201113.7075523","-25655048.9733009","-45393526.5748521","-39327797.9416298","-28300000","-39675831.5517327","-45443245.6620096","-58469646.4972903","-69954755.6306866","-60806443.5936956","-67767115.795754","-85765425.3467906","-95150000","-109600000","-118950000","-133950000","-116850000","-175000000","-256400500","-187817000","-245952050","-190051650","-111949650","-300146400","-172403400","-194599450","-197441350","-212942350","-221435850","-223746800","-240000000","-267000000","-67000000","-96000000","-166000000","-279000000","-294000000","",
