DATAFLOW,LAST UPDATE,freq,unit,s_adj,na_item,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:NAMQ_10_GDP(1.0),06/06/25 23:00:00,Quarterly,"Price index (implicit deflator), 2015=100, national currency",Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Gross domestic product at market prices,Euro area - 19 countries  (2015-2022),1995-Q1,71.510,e,
ESTAT:NAMQ_10_GDP(1.0),06/06/25 23:00:00,Quarterly,"Price index (implicit deflator), 2015=100, national currency",Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Gross domestic product at market prices,Euro area - 19 countries  (2015-2022),1995-Q2,72.304,e,
ESTAT:NAMQ_10_GDP(1.0),06/06/25 23:00:00,Quarterly,"Price index (implicit deflator), 2015=100, national currency",Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Gross domestic product at market prices,Euro area - 19 countries  (2015-2022),1995-Q3,73.323,e,
ESTAT:NAMQ_10_GDP(1.0),06/06/25 23:00:00,Quarterly,"Price index (implicit deflator), 2015=100, national currency",Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Gross domestic product at market prices,Euro area - 19 countries  (2015-2022),1995-Q4,74.645,e,
ESTAT:NAMQ_10_GDP(1.0),06/06/25 23:00:00,Quarterly,"Price index (implicit deflator), 2015=100, national currency",Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Gross domestic product at market prices,Euro area - 19 countries  (2015-2022),1996-Q1,73.853,,
ESTAT:NAMQ_10_GDP(1.0),06/06/25 23:00:00,Quarterly,"Price index (implicit deflator), 2015=100, national currency",Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Gross domestic product at market prices,Euro area - 19 countries  (2015-2022),1996-Q2,74.592,,
ESTAT:NAMQ_10_GDP(1.0),06/06/25 23:00:00,Quarterly,"Price index (implicit deflator), 2015=100, national currency",Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Gross domestic product at market prices,Euro area - 19 countries  (2015-2022),1996-Q3,74.963,,
ESTAT:NAMQ_10_GDP(1.0),06/06/25 23:00:00,Quarterly,"Price index (implicit deflator), 2015=100, national currency",Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Gross domestic product at market prices,Euro area - 19 countries  (2015-2022),1996-Q4,75.791,,
ESTAT:NAMQ_10_GDP(1.0),06/06/25 23:00:00,Quarterly,"Price index (implicit deflator), 2015=100, national currency",Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Gross domestic product at market prices,Euro area - 19 countries  (2015-2022),1997-Q1,74.030,,
ESTAT:NAMQ_10_GDP(1.0),06/06/25 23:00:00,Quarterly,"Price index (implicit deflator), 2015=100, national currency",Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Gross domestic product at market prices,Euro area - 19 countries  (2015-2022),1997-Q2,74.272,,
ESTAT:NAMQ_10_GDP(1.0),06/06/25 23:00:00,Quarterly,"Price index (implicit deflator), 2015=100, national currency",Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Gross domestic product at market prices,Euro area - 19 countries  (2015-2022),1997-Q3,74.425,,
ESTAT:NAMQ_10_GDP(1.0),06/06/25 23:00:00,Quarterly,"Price index (implicit deflator), 2015=100, national currency",Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Gross domestic product at market prices,Euro area - 19 countries  (2015-2022),1997-Q4,75.742,,
ESTAT:NAMQ_10_GDP(1.0),06/06/25 23:00:00,Quarterly,"Price index (implicit deflator), 2015=100, national currency",Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Gross domestic product at market prices,Euro area - 19 countries  (2015-2022),1998-Q1,74.168,,
ESTAT:NAMQ_10_GDP(1.0),06/06/25 23:00:00,Quarterly,"Price index (implicit deflator), 2015=100, national currency",Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Gross domestic product at market prices,Euro area - 19 countries  (2015-2022),1998-Q2,74.996,,
ESTAT:NAMQ_10_GDP(1.0),06/06/25 23:00:00,Quarterly,"Price index (implicit deflator), 2015=100, national currency",Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Gross domestic product at market prices,Euro area - 19 countries  (2015-2022),1998-Q3,75.352,,
ESTAT:NAMQ_10_GDP(1.0),06/06/25 23:00:00,Quarterly,"Price index (implicit deflator), 2015=100, national currency",Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Gross domestic product at market prices,Euro area - 19 countries  (2015-2022),1998-Q4,77.098,,
ESTAT:NAMQ_10_GDP(1.0),06/06/25 23:00:00,Quarterly,"Price index (implicit deflator), 2015=100, national currency",Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Gross domestic product at market prices,Euro area - 19 countries  (2015-2022),1999-Q1,75.896,,
ESTAT:NAMQ_10_GDP(1.0),06/06/25 23:00:00,Quarterly,"Price index (implicit deflator), 2015=100, national currency",Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Gross domestic product at market prices,Euro area - 19 countries  (2015-2022),1999-Q2,76.490,,
ESTAT:NAMQ_10_GDP(1.0),06/06/25 23:00:00,Quarterly,"Price index (implicit deflator), 2015=100, national currency",Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Gross domestic product at market prices,Euro area - 19 countries  (2015-2022),1999-Q3,76.568,,
ESTAT:NAMQ_10_GDP(1.0),06/06/25 23:00:00,Quarterly,"Price index (implicit deflator), 2015=100, national currency",Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Gross domestic product at market prices,Euro area - 19 countries  (2015-2022),1999-Q4,77.709,,
ESTAT:NAMQ_10_GDP(1.0),06/06/25 23:00:00,Quarterly,"Price index (implicit deflator), 2015=100, national currency",Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Gross domestic product at market prices,Euro area - 19 countries  (2015-2022),2000-Q1,76.751,,
ESTAT:NAMQ_10_GDP(1.0),06/06/25 23:00:00,Quarterly,"Price index (implicit deflator), 2015=100, national currency",Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Gross domestic product at market prices,Euro area - 19 countries  (2015-2022),2000-Q2,77.380,,
ESTAT:NAMQ_10_GDP(1.0),06/06/25 23:00:00,Quarterly,"Price index (implicit deflator), 2015=100, national currency",Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Gross domestic product at market prices,Euro area - 19 countries  (2015-2022),2000-Q3,77.747,,
ESTAT:NAMQ_10_GDP(1.0),06/06/25 23:00:00,Quarterly,"Price index (implicit deflator), 2015=100, national currency",Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Gross domestic product at market prices,Euro area - 19 countries  (2015-2022),2000-Q4,79.070,,
ESTAT:NAMQ_10_GDP(1.0),06/06/25 23:00:00,Quarterly,"Price index (implicit deflator), 2015=100, national currency",Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Gross domestic product at market prices,Euro area - 19 countries  (2015-2022),2001-Q1,78.364,,
ESTAT:NAMQ_10_GDP(1.0),06/06/25 23:00:00,Quarterly,"Price index (implicit deflator), 2015=100, national currency",Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Gross domestic product at market prices,Euro area - 19 countries  (2015-2022),2001-Q2,79.338,,
ESTAT:NAMQ_10_GDP(1.0),06/06/25 23:00:00,Quarterly,"Price index (implicit deflator), 2015=100, national currency",Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Gross domestic product at market prices,Euro area - 19 countries  (2015-2022),2001-Q3,79.753,,
ESTAT:NAMQ_10_GDP(1.0),06/06/25 23:00:00,Quarterly,"Price index (implicit deflator), 2015=100, national currency",Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Gross domestic product at market prices,Euro area - 19 countries  (2015-2022),2001-Q4,81.283,,
ESTAT:NAMQ_10_GDP(1.0),06/06/25 23:00:00,Quarterly,"Price index (implicit deflator), 2015=100, national currency",Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Gross domestic product at market prices,Euro area - 19 countries  (2015-2022),2002-Q1,80.532,,
